"access","singles","doubles","triples","hrs","error","popout","flyout","lineout","groundout"
"contact_0_0",0.212719975301019,0.0673047236801482,0.00493979623340537,0.0361222599567768,0.00740969435010806,0.0713183081197901,0.203766594627972,0.0836677987033035,0.312750849027478
"contact_0_1",0.212825933756166,0.0574348132487667,0.00352360817477097,0.0251937984496124,0.00792811839323467,0.0658914728682171,0.191155743481325,0.0865045806906272,0.34954193093728
"contact_0_2",0.231301068510371,0.0493400377121307,0.00282840980515399,0.0153991200502828,0.00754242614707731,0.059710873664362,0.174418604651163,0.0983658076681332,0.361093651791326
"contact_1_0",0.207323498419389,0.0721812434141201,0.00316122233930453,0.0389884088514226,0.00658587987355111,0.0779768177028451,0.211011591148577,0.0790305584826133,0.303740779768177
"contact_1_1",0.201909959072306,0.0635353732215942,0.0052621321379848,0.0294289612161372,0.00954979536152797,0.0670434613135841,0.185538881309686,0.0923796530890665,0.345351783278113
"contact_1_2",0.225731447393916,0.0497965510559969,0.00484402247626429,0.0222825033908157,0.0106568494477814,0.0621972485952335,0.171284634760705,0.0984305367176904,0.354776206161597
"contact_2_0",0.19800460475825,0.066768994627782,0.00460475825019187,0.0483499616270146,0.00613967766692249,0.0775134305448964,0.23561013046815,0.0867229470452801,0.276285495011512
"contact_2_1",0.205892547660312,0.0641247833622184,0.00554592720970537,0.0329289428076256,0.00901213171577123,0.0675909878682842,0.209705372616984,0.0935875216637782,0.311611785095321
"contact_2_2",0.204974932510605,0.0620902429618203,0.00520632472040108,0.0273814114924798,0.00983416891631315,0.0690320092556884,0.190898573081373,0.0931353644427304,0.337446972618589
"contact_3_0",0.207547169811321,0.132075471698113,0,0.10377358490566,0.0283018867924528,0.0849056603773585,0.141509433962264,0.10377358490566,0.19811320754717
"contact_3_1",0.188034188034188,0.0777777777777778,0.00598290598290598,0.052991452991453,0.00854700854700855,0.0820512820512821,0.21965811965812,0.088034188034188,0.276923076923077
"contact_3_2",0.199600228440891,0.0562535693889206,0.00599657338663621,0.0342661336379212,0.00656767561393489,0.0788121073672187,0.200742432895488,0.0928041119360365,0.324957167332953
"middle_0_0",0.207532916037125,0.0660479171163393,0.00593567882581481,0.0498597021368444,0.0075545003237643,0.0713360673429743,0.196093244118282,0.0823440535290309,0.313295920569825
"middle_0_1",0.211932701823837,0.0658843489325604,0.0046656298600311,0.040294076063905,0.00918987699703096,0.0630566944719355,0.181535416372119,0.0832744238654037,0.340166831613177
"middle_0_2",0.217987045341305,0.0550572994519183,0.00323866467364225,0.0261584454409567,0.0112107623318386,0.0555555555555556,0.199800697558545,0.0869456900847035,0.344045839561535
